x,y,u,v
58900.0,0.0,-0.01,0.06
59000.0,0.0,-0.01,0.07
59100.0,0.0,-0.01,0.06
59200.0,0.0,-0.01,0.06
59300.0,0.0,-0.01,0.04
59400.0,0.0,-0.01,0.03
59500.0,0.0,-0.01,0.0
59600.0,0.0,-0.01,-0.02
59700.0,0.0,-0.01,-0.03
59800.0,0.0,-0.01,-0.05
59900.0,0.0,-0.01,-0.07
60000.0,0.0,-0.0,-0.09
60100.0,0.0,-0.0,-0.1
60200.0,0.0,-0.0,-0.11
60300.0,0.0,-0.0,-0.12
60400.0,0.0,-0.0,-0.12
60500.0,0.0,-0.0,-0.1
60600.0,0.0,-0.0,-0.07
60700.0,0.0,-0.0,-0.04
60800.0,0.0,-0.0,0.01
60900.0,0.0,-0.0,0.06
61000.0,0.0,-0.0,0.11
61100.0,0.0,-0.0,0.17
61200.0,0.0,-0.0,0.22
61300.0,0.0,-0.0,0.29
61400.0,0.0,-0.0,0.34
61500.0,0.0,-0.0,0.38
61600.0,0.0,-0.0,0.41
61700.0,0.0,-0.0,0.43
61800.0,0.0,-0.0,0.42
61900.0,0.0,-0.0,0.4
62000.0,0.0,-0.0,0.38
62100.0,0.0,-0.0,0.35
62200.0,0.0,-0.0,0.32
62300.0,0.0,-0.0,0.28
62400.0,0.0,-0.0,0.25
62500.0,0.0,-0.0,0.21
62600.0,0.0,-0.0,0.17
62700.0,0.0,-0.0,0.13
62800.0,0.0,-0.0,0.09
62900.0,0.0,-0.0,0.07
63000.0,0.0,-0.0,0.05
63100.0,0.0,-0.0,0.03
63200.0,0.0,0.0,0.02
63300.0,0.0,0.0,0.01
63400.0,0.0,0.0,0.01
63500.0,0.0,0.0,0.01
63600.0,0.0,0.0,0.02
63700.0,0.0,0.0,0.03
63800.0,0.0,0.0,0.05
63900.0,0.0,0.0,0.07
64000.0,0.0,0.0,0.08
64100.0,0.0,0.0,0.1
64200.0,0.0,0.0,0.1
64300.0,0.0,0.0,0.1
64400.0,0.0,0.0,0.11
64500.0,0.0,0.0,0.12
64600.0,0.0,0.0,0.13
